name,material_type,seating_type,speed,height,length,num_inversions,manufacturer,park,status,,
Goudurix,Steel,Sit Down,75,37,950,7,Vekoma,Parc Asterix,status.operating,,
Dream catcher,Steel,Suspended,45,25,600,0,Vekoma,Bobbejaanland,status.operating,,
Alucinakis,Steel,Sit Down,30,8,250,0,Zamperla,Terra Mítica,status.operating,,
Anaconda,Wooden,Sit Down,85,35,1200,0,William J. Cobb,Walygator Parc,status.operating,,
Azteka,Steel,Sit Down,55,17,500,0,Soquet,Le Pal,status.operating,,
Bat Coaster,Steel,Inverted,70,20,400,2,Pinfari,Nigloland,status.relocated,,
Batman : Arkham Asylum,Steel,Inverted,80,32,823,5,B&M,Parque Warner Madrid,status.operating,,
Big Thunder Mountain,Steel,Sit Down,60,22,1500,0,Vekoma,Disneyland Park,status.operating,,
EqWalizer,Steel,Sit Down,76,36,285,3,Vekoma,Walibi Rhône Alpes,status.operating,,
Calamity Mine,Steel,Sit Down,48,14,785,0,Vekoma,Walibi Belgium,status.operating,,
Casey Jr,le Petit Train du Cirque,Steel,Sit Down,30,,,0,Vekoma,Disneyland Park,status.operating,
Cobra,Steel,Sit Down,76,36,285,3,Vekoma,Walibi Belgium,status.operating,,
Coccinelle,Steel,Sit Down,36,8,360,0,Zierer,Walibi Rhône Alpes,status.operating,,
Coleoz'Arbres,Steel,Sit Down,60,,540,0,Schwarzkopf,Bagatelle,status.closed.definitely,,
Comet,Steel,Sit Down,64,24,,3,Vekoma,Walygator Parc,status.operating,,
Course de Bobsleigh,Steel,Sit Down,65,15,450,0,Schwarzkopf,Nigloland,status.relocated,,
Cumbres,Steel,Sit Down,,3,,0,Miler Coaster,Parque de Atracciones de Madrid,status.closed.definitely,,
Le Dragon de Bei Hai,Steel,Sit Down,,,,0,Cavazza Diego,La Mer de Sable,status.closed.definitely,,
Euro Mir,Steel,Spinning,80,28,980,0,Mack,Europa Park,status.operating,,
Eurosat,Steel,Sit Down,60,26,877,0,Mack,Europa Park,status.retracked,,
Expedition Ge Force,Steel,Sit Down,120,53,1220,0,Intamin,Holiday Park,status.operating,,
Le Grand canyon,Steel,Sit Down,50,12,380,0,Soquet,Fraispertuis City,status.operating,,
Indiana Jones et le Temple du Péril,Steel,Sit Down,58,18,566,1,Intamin,Disneyland Park,status.operating,,
Jaguar,Steel,Inverted,83,34,689,5,Vekoma,Isla Magica,status.operating,,
Cop Car Chase (1),Steel,Sit Down,60,16,620,2,Intamin,Movie Park Germany,status.closed.definitely,,
Loup Garou,Wooden,Sit Down,80,28,1035,0,Vekoma,Walibi Belgium,status.operating,,
Magnus Colossus,Wooden,Sit Down,92,38,1150,0,RCCA,Terra Mítica,status.closed.temporarily,,
Oki Doki,Steel,Sit Down,58,16,436,0,Vekoma,Bobbejaanland,status.operating,,
SOS Numerobis,Steel,Sit Down,32,6,200,0,Zierer,Parc Asterix,status.operating,,
Poseïdon,Steel,Water Coaster,70,23,836,0,Mack,Europa Park,status.operating,,
Rock'n Roller Coaster avec Aerosmith,Steel,Sit Down,92,24,1037,3,Vekoma,Walt Disney Studios,status.operating,,
La Ronde des Rondins,Steel,Sit Down,26,3,60,0,Zierer,Parc Asterix,status.relocated,,
Silverstar,Steel,Sit Down,127,73,1620,0,B&M,Europa Park,status.operating,,
Superman la Atraccion de Acero,Steel,Floorless,105,50,1200,7,B&M,Parque Warner Madrid,status.operating,,
La Trace du Hourra,Steel,Bobsleigh,60,31,900,0,Mack,Parc Asterix,status.operating,,
Stunt Fall,Steel,Sit Down,106,58,367,3,Vekoma,Parque Warner Madrid,status.operating,,
Le Tigre de Sibérie,Steel,Sit Down,40,13,360,0,Reverchon,Le Pal,status.operating,,
Titánide,Steel,Inverted,80,33,689,5,Vekoma,Terra Mítica,status.operating,,
Tom y Jerry,Steel,Sit Down,36,8,360,0,Zierer,Parque Warner Madrid,status.operating,,
Psyké underground,Steel,Sit Down,85,42,260,1,Schwarzkopf,Walibi Belgium,status.operating,,
Tonnerre de Zeus,Wooden,Sit Down,84,30,1233,0,CCI,Parc Asterix,status.operating,,
Tren Bravo (Left),Steel,Sit Down,45,6,394,0,Zamperla,Terra Mítica,status.closed.temporarily,,
Typhoon,Steel,Sit Down,80,26,670,4,Gerstlauer,Bobbejaanland,status.operating,,
Schweizer Bobbahn,Steel,Bobsleigh,50,19,487,0,Mack,Europa Park,status.operating,,
Vampire,Steel,Inverted,80,33,689,5,Vekoma,Walibi Belgium,status.operating,,
Le Vol d'Icare,Steel,Sit Down,42,11,410,0,Zierer,Parc Asterix,status.operating,,
Wild Train,Steel,Sit Down,70,15,330,0,Pax,Parc Saint Paul,status.operating,,
Bandit,Wooden,Sit Down,80,28,1099,0,RCCA,Movie Park Germany,status.operating,,
Woodstock Express,Steel,Sit Down,,,220,0,Zamperla,Walibi Rhône Alpes,status.operating,,
MP-Xpress,Steel,Inverted,80,33,689,5,Vekoma,Movie Park Germany,status.operating,,
Train of Potosi,Steel,Sit Down,,,,0,Zamperla,Isla Magica,status.operating,,
Tornado,Steel,Inverted,80,30,800,3,Intamin,Parque de Atracciones de Madrid,status.operating,,
Tami Tami,Steel,Sit Down,35,9,207,0,Vekoma,Port Aventura,status.operating,,
Tomahawk,Wooden,Sit Down,48,14,440,0,CCI,Port Aventura,status.operating,,
Nemesis,Steel,Inverted,81,13,716,4,B&M,Alton Towers,status.operating,,
Stampida (Red),Wooden,Sit Down,72,26,945,0,CCI,Port Aventura,status.operating,,
El Diablo,Steel,Sit Down,,17,1008,0,Arrow,Port Aventura,status.operating,,
Dragon Khan,Steel,Sit Down,105,45,1270,8,B&M,Port Aventura,status.operating,,
La Chenille,Steel,Sit Down,26,3,,0,Pinfari,Nigloland,status.operating,,
Spatiale Experience,Steel,Sit Down,60,18,800,0,Mack,Nigloland,status.operating,,
Euro Loop,Steel,Sit Down,65,30,,4,Vekoma,Europark,status.operating,,
Les Montagnes du Grand Canyon,Steel,Sit Down,50,12,434,0,Pinfari,OK Corral,status.closed.definitely,,
Serpent Hopi,Steel,Sit Down,36,8,360,0,Zierer,OK Corral,status.operating,,
Family Coaster,Steel,Sit Down,20,6,160,0,Pinfari,Parc Saint Paul,status.closed.definitely,,
Le Train de la Mine d'Or,Steel,Sit Down,36,8,,0,Mack,Nigloland,status.operating,,
Spirale des Dunes,Steel,Sit Down,40,5,200,0,Soquet,Bagatelle,status.operating,,
Zigzag,Steel,Sit Down,40,13,270,0,Zamperla,Walibi Sud Ouest,status.operating,,
Mini Mouse Cartoon,Steel,Sit Down,10,3,90,0,Zamperla,Parc Saint Paul,status.operating,,
Train du Colorado,Steel,Sit Down,60,12,,0,Soquet,La Mer de Sable,status.closed.definitely,,
Gaz Express,Steel,Sit Down,60,12,400,0,Soquet,Bagatelle,status.operating,,
Blue Tornado,Steel,Inverted,80,33,765,5,Vekoma,Gardaland,status.operating,,
Rexplorer,Steel,Sit Down,36,4,250,0,Mack,Mirabilandia,status.operating,,
Family Adventure,Steel,Sit Down,46,13,335,0,Vekoma,Mirabilandia,status.closed.definitely,,
Fuga da Atlantide,Steel,Water Coaster,60,17,700,0,Intamin,Gardaland,status.operating,,
Jamming,Steel,Spinning,40,8,,0,Barbisan,Fiabilandia,status.closed.definitely,,
Katun,Steel,Inverted,104,50,1200,6,B&M,Mirabilandia,status.operating,,
Shaman,Steel,Sit Down,70,30,700,4,Vekoma,Gardaland,status.operating,,
Miniera d'Oro,Steel,Sit Down,,,,0,Pinfari,Fiabilandia,status.operating,,
Ortobruco Tour,Steel,Sit Down,35,6,,0,Pinfari,Gardaland,status.operating,,
Gold Digger,Steel,Sit Down,35,15,360,0,L&T Systems,Mirabilandia,status.operating,,
Sierra Tonante,Wooden,Sit Down,100,35,1000,0,William J. Cobb,Mirabilandia,status.closed.definitely,,
Valle degli Gnomi,Steel,Sit Down,,,,0,Pinfari,Fiabilandia,status.operating,,
X Speed,Steel,Sit Down,40,6,,0,Pinfari,Movieland Park,status.closed.definitely,,
Big Apple,Steel,Sit Down,,,,0,Pinfari,Southport Pleasureland,status.closed.definitely,,
Buffalo Mountain Coaster,Steel,Sit Down,,,,0,Zamperla,Drayton Manor,status.operating,,
